,resolution,sampling_rate,mean_cv_r2,mean_cv_mae,mean_test_r2,mean_test_mae,max_cv_r2,min_cv_mae,max_test_r2,min_test_mae
0,2,1.0,0.6067900892749319,0.3171767357183989,0.5645052266954729,0.3571995387382566,0.6067900892749318,0.3171767357183989,0.5645052266954728,0.35719953873825666
1,2,0.8,0.611311231558411,0.3102770711695622,0.6083266247461279,0.3164750588232169,0.7537006294097754,0.25569377931027526,0.748049654402364,0.2385148847125556
2,2,0.7,0.5718544810825039,0.32842233098747814,0.5934320535429768,0.31665680272633184,0.6956264894788184,0.2894689276354287,0.7234711899081516,0.2651435879406914
3,2,0.6,0.5500265506958482,0.34065231027943194,0.5472840974077101,0.3343664726511637,0.7296545185090806,0.28572289398545636,0.7163538583596814,0.25647122647984144
4,2,0.5,0.49100474505611924,0.35498760417641523,0.5202609503687825,0.34109754977780526,0.717509332197013,0.2851375068900417,0.6764699668755907,0.2764944788028054
5,2,0.4,0.46297349358870143,0.36207955233291245,0.48295100998938867,0.3581630890825914,0.6499598976214873,0.2894927329646678,0.7104214142842183,0.2612210813887262
6,2,0.3,0.31350939073794376,0.4244169458017278,0.4441340093332192,0.3761509497116501,0.5442608306385346,0.34460566172575313,0.732725603192457,0.2426281154027917
7,2,0.2,0.1293299027882508,0.45253776575859384,0.3588344147636681,0.3977438252836858,0.4586336722252,0.3201696922398881,0.6434528830883761,0.25322035071194815
8,3,1.0,0.6293467027252573,0.3107148430834218,0.6171726624530484,0.32657989178444974,0.6293467027252573,0.31071484308342184,0.6171726624530482,0.3265798917844498
9,3,0.8,0.6295708175549706,0.30233403270430825,0.5732926348638914,0.32050166012916387,0.76711839732992,0.24286200806504815,0.6591593659919635,0.255994472923595
10,3,0.7,0.5607167473110541,0.33157624527727486,0.6014793186051083,0.30774253368202925,0.685737142202927,0.2797652594971689,0.6834321823335503,0.26732093464684015
11,3,0.6,0.583701438716212,0.32280846299560145,0.5829956084861029,0.3119195693300095,0.714335334346299,0.26963281886771834,0.7072452205545399,0.2641296699466302
12,3,0.5,0.5331429919722136,0.3418742206926324,0.544558054031545,0.33698044898630386,0.6967588411901346,0.28390498959447547,0.7687619797885363,0.2575012476129882
13,3,0.4,0.4430296213768769,0.37608472193843945,0.4918761124492167,0.34415346924097434,0.6994271789188614,0.2720656956878438,0.6364940536909791,0.2467356950779523
14,3,0.3,0.28857565048403416,0.4280762544043245,0.43455251407925777,0.3625563872485955,0.5914947769843562,0.33203141249440515,0.7227988542172242,0.23800668760702368
15,3,0.2,0.18679077131650823,0.45105414812343836,0.23525982198469228,0.44691975870068246,0.6787624287385396,0.3104327790756747,0.6931357776980996,0.2988242019500916
16,4,1.0,0.61647637945984,0.3143810287044089,0.5485961226844689,0.35356228431460035,0.61647637945984,0.314381028704409,0.548596122684469,0.35356228431460035
17,4,0.8,0.5917717758467559,0.3193590661219813,0.610527733831111,0.31116814434909246,0.6904452133971251,0.28455760749963493,0.7300797972007799,0.25553440033013003
18,4,0.7,0.5587865042656965,0.33173134732090465,0.586445830100159,0.32517526656217577,0.6765759471253021,0.2750723595864387,0.7598457271928032,0.22709480582752686
19,4,0.6,0.5547167022491531,0.3381391108770425,0.5641475722171192,0.32956671922199565,0.70065533919069,0.28946808700426896,0.6967473584002177,0.2715667035075121
20,4,0.5,0.5042208589123682,0.3563056947538174,0.5981592763774285,0.31498778449527526,0.6205925907273999,0.3037675302984074,0.7734294881771817,0.23551037523944884
21,4,0.4,0.4450005373669613,0.37364754131816164,0.4872019581530851,0.35649062097013257,0.6010014022767428,0.32717537181818973,0.6898548787640555,0.2850671923198616
22,4,0.3,0.34546482909291865,0.4106602941141202,0.3546916035405873,0.4131750348363493,0.5876145227400666,0.33508881512277594,0.6669070041106868,0.31898338157628503
23,4,0.2,0.21507719261954192,0.44036995194127143,0.31648756188268046,0.4045101032920459,0.590665528064132,0.3421506341979775,0.6276667531141847,0.2644072358862266
24,5,1.0,0.5849778040777572,0.32874749026044225,0.548090452838556,0.35746628471577474,0.5849778040777571,0.3287474902604423,0.548090452838556,0.3574662847157747
25,5,0.8,0.5717921190048914,0.33329869487058217,0.5950990819352903,0.317129504190861,0.6832589638122899,0.29735640755665055,0.710707872362247,0.2550941810320562
26,5,0.7,0.5660354038006952,0.33169091091378133,0.5778799190826887,0.31401274386074896,0.7085973632979807,0.27419464546524625,0.77316871312882,0.2270239690552053
27,5,0.6,0.5286592951119807,0.3481545030352174,0.5775847293301979,0.3250114519610017,0.699623557622858,0.27788416414462946,0.7275094599023892,0.26450081811339304
28,5,0.5,0.45862187310021507,0.3745692661020022,0.5504753301538219,0.32986896003692945,0.6820125102246128,0.28191618378354627,0.7025846819063626,0.22228195631311648
29,5,0.4,0.42529866887807477,0.3810824067382898,0.4584894049733477,0.3672540311355116,0.6553332893027948,0.30550637175514417,0.6494371114713978,0.3100979414620294
30,5,0.3,0.34958504118648054,0.41338338057658797,0.4307711767370234,0.3775554583196201,0.5717927768667572,0.32255555331803515,0.6793968834026254,0.29461665417552463
31,5,0.2,0.2785064741347728,0.41000057637943205,0.3571867194009107,0.38676376354005837,0.6676383115727254,0.2707742908117185,0.5794665157226747,0.31078554856325274
32,6,1.0,0.6204414624378487,0.3135354612829246,0.5979730221894719,0.31680104488865984,0.6204414624378485,0.3135354612829246,0.5979730221894721,0.31680104488865984
33,6,0.8,0.5795896644671453,0.3198793939829379,0.6156473466917863,0.31218165815325616,0.6885383232802831,0.2658105704546563,0.7263486522712788,0.25041629066189086
34,6,0.7,0.5596477624869012,0.3357552541935268,0.5626080887197468,0.3256759689006936,0.7262638280093363,0.28718620528644384,0.6538998063881734,0.27038722143337246
35,6,0.6,0.5143382818201823,0.3481069498195306,0.5400094200073112,0.34286334527161794,0.6396962107911892,0.2992493977234602,0.7052440482015703,0.27300987421721884
36,6,0.5,0.5007847209936476,0.354473040613576,0.5283719097690038,0.3426167899224642,0.6856997328817146,0.27615177276255093,0.7156322618881338,0.2722173371853158
37,6,0.4,0.41779809225926734,0.38482838832217636,0.49402181587259575,0.35132518773638005,0.523858000605809,0.3402646817993227,0.7320903342928913,0.24874132535105548
38,6,0.3,0.335210959823182,0.41554546661376585,0.4595424940297271,0.37029062224376924,0.5565383608617963,0.3437633358777665,0.7419651716611109,0.2819700806773048
39,6,0.2,0.11434823706579963,0.4432846948528075,0.29492723463885373,0.4193133210783853,0.5025973618575375,0.3512650310628857,0.6621658231933576,0.3150419542609471
